,city,district,listed_date,listed_price,transaction_price,transaction_cycle,adjust_price,house_inspection,concerned_number,browse_number,house_type,covered_area,orientation,elevator,transaction_info,cell_name,floors,url
0,普陀,甘泉宜川,2018-11-02,235,212.5,14,1,0,0,144,2室0厅1厨1卫,45.21㎡,南,无,"单价47003元/平,2018-11-15成交",,高楼层(共6层),https://sh.lianjia.com/chengjiao/107100775427.html
1,普陀,甘泉宜川,2018-07-20,142,142,134,1,1,43,1605,1室1厅1厨1卫,30.58㎡,南,无,"单价46436元/平,2018-11-30成交",,高楼层(共6层),https://sh.lianjia.com/chengjiao/107100480597.html
2,普陀,甘泉宜川,2015-03-23,650,412.5,95,0,0,0,暂无数据,2室2厅1厨1卫,115.82㎡,南,有,"单价35616元/平,2015-06-26成交",,低楼层(共24层),https://sh.lianjia.com/chengjiao/107010018245.html
3,普陀,甘泉宜川,2012-09-06,暂无数据,298,193,1,0,0,暂无数据,3室2厅1厨2卫,148.7㎡,南,有,"单价20041元/平,2013-03-18成交",,低楼层(共16层),https://sh.lianjia.com/chengjiao/107010002853.html
4,普陀,桃浦,2018-06-20,155,150,5,0,0,2,65,1室1厅1厨1卫,33.14㎡,南,无,"单价45263元/平,2018-06-25成交",,低楼层(共6层),https://sh.lianjia.com/chengjiao/107100396237.html
5,普陀,桃浦,2018-06-21,170,170,7,1,0,0,7,1室0厅1厨1卫,33.01㎡,南,有,"单价51500元/平,2018-06-27成交",,中楼层(共7层),https://sh.lianjia.com/chengjiao/107100399354.html
6,普陀,桃浦,2018-05-21,205,194,38,0,0,13,761,2室1厅1厨1卫,49.78㎡,南,无,"单价38972元/平,2018-06-27成交",,高楼层(共6层),https://sh.lianjia.com/chengjiao/107100307252.html
7,普陀,桃浦,2018-05-12,198,192,48,1,0,24,1509,2室0厅1厨1卫,49.76㎡,南,无,"单价38586元/平,2018-06-28成交",,中楼层(共6层),https://sh.lianjia.com/chengjiao/107100281684.html
8,普陀,桃浦,2017-12-09,155,149.5,202,1,0,41,3131,1室0厅1厨1卫,37.36㎡,南,无,"单价40017元/平,2018-06-29成交",,高楼层(共6层),https://sh.lianjia.com/chengjiao/107002285875.html
9,普陀,桃浦,2018-05-04,173,168,57,1,0,19,2078,1室1厅1厨1卫,42.74㎡,南,无,"单价39308元/平,2018-06-29成交",,低楼层(共6层),https://sh.lianjia.com/chengjiao/107100258547.html
10,普陀,桃浦,2015-04-03,暂无数据,192,373,1,0,0,暂无数据,2室1厅1厨1卫,63.3㎡,南,无,"单价30332元/平,2016-04-10成交",,中楼层(共6层),https://sh.lianjia.com/chengjiao/107010071400.html
11,普陀,桃浦,2015-04-05,暂无数据,183,370,0,0,0,暂无数据,2室1厅1厨1卫,54.49㎡,南,无,"单价33585元/平,2016-04-09成交",,高楼层(共6层),https://sh.lianjia.com/chengjiao/107010071242.html
12,普陀,桃浦,2015-05-14,140,135,336,1,0,0,暂无数据,1室1厅1厨1卫,54.27㎡,南,有,"单价24876元/平,2016-04-14成交",,高楼层(共9层),https://sh.lianjia.com/chengjiao/107010071948.html
13,普陀,桃浦,2015-04-07,暂无数据,616,417,1,0,0,暂无数据,3室2厅1厨1卫,99.21㎡,南,暂无数据,"单价62091元/平,2016-05-28成交",,中楼层(共29层),https://sh.lianjia.com/chengjiao/107010072975.html
14,普陀,桃浦,2015-04-02,318,315,471,1,0,0,暂无数据,3室2厅1厨2卫,91.43㎡,南,无,"单价34453元/平,2016-07-16成交",,高楼层(共5层),https://sh.lianjia.com/chengjiao/107010083381.html
15,普陀,桃浦,2015-07-17,380,363,377,1,0,0,暂无数据,2室2厅1厨2卫,100.26㎡,南,有,"单价36206元/平,2016-07-28成交",,低楼层(共18层),https://sh.lianjia.com/chengjiao/107010082609.html
16,普陀,桃浦,2015-03-04,265,262.5,297,1,0,0,暂无数据,4室2厅1厨2卫,99.61㎡,南,无,"单价26353元/平,2015-12-26成交",,高楼层(共6层),https://sh.lianjia.com/chengjiao/107010047600.html
17,普陀,桃浦,2013-10-31,暂无数据,360,800,0,0,0,暂无数据,3室2厅1厨1卫,96.3㎡,南,有,"单价37384元/平,2016-01-09成交",,中楼层(共16层),https://sh.lianjia.com/chengjiao/107010041886.html
18,普陀,桃浦,2015-07-17,225,225,174,0,0,0,暂无数据,2室2厅1厨1卫,98㎡,南,有,"单价22960元/平,2016-01-07成交",,高楼层(共16层),https://sh.lianjia.com/chengjiao/107010050335.html
19,普陀,桃浦,2015-03-31,450,448,290,0,0,0,暂无数据,2室2厅1厨1卫,107.06㎡,南,有,"单价41846元/平,2016-01-15成交",,高楼层(共11层),https://sh.lianjia.com/chengjiao/107010054740.html
