,city,district,listed_date,listed_price,transaction_price,transaction_cycle,adjust_price,house_inspection,concerned_number,browse_number,house_type,covered_area,orientation,elevator,transaction_info,cell_name,floors,url
0,浦东,花木,2013-11-21,暂无数据,308,1034,1,0,0,暂无数据,1室1厅1厨1卫,37.67㎡,南,无,"单价81763元/平,2016-09-20成交",,低楼层(共6层),https://sh.lianjia.com/chengjiao/107010099772.html
1,浦东,花木,2013-10-27,暂无数据,655,971,1,0,0,暂无数据,3室2厅1厨2卫,113.86㎡,南,有,"单价57527元/平,2016-06-24成交",,中楼层(共8层),https://sh.lianjia.com/chengjiao/107010075826.html
2,浦东,花木,2012-01-07,暂无数据,840,1666,0,0,0,暂无数据,2室2厅1厨1卫,111.01㎡,南,有,"单价75669元/平,2016-07-29成交",,低楼层(共13层),https://sh.lianjia.com/chengjiao/107010085595.html
3,浦东,花木,2014-07-08,1100,965,1104,0,0,0,暂无数据,4室3厅1厨2卫,185.42㎡,南,无,"单价52045元/平,2017-07-16成交",,高楼层(共6层),https://sh.lianjia.com/chengjiao/107001497107.html
4,浦东,花木,2012-01-07,1600,1550,1922,0,0,0,暂无数据,3室2厅1厨2卫,179.52㎡,南,有,"单价86342元/平,2017-04-12成交",,中楼层(共35层),https://sh.lianjia.com/chengjiao/107000109999.html
5,浦东,花木,2012-01-07,暂无数据,498,321,0,0,0,暂无数据,3室2厅1厨2卫,129.85㎡,南,有,"单价38352元/平,2012-11-22成交",,低楼层(共18层),https://sh.lianjia.com/chengjiao/107010001558.html
6,浦东,花木,2012-09-14,暂无数据,430,98,0,0,0,暂无数据,3室2厅1厨1卫,122㎡,南,有,"单价35246元/平,2012-12-21成交",,中楼层(共18层),https://sh.lianjia.com/chengjiao/107010001271.html
7,浦东,花木,2012-01-07,暂无数据,460,203,0,0,0,暂无数据,3室2厅1厨2卫,144.9㎡,南,有,"单价31747元/平,2012-07-27成交",,高楼层(共18层),https://sh.lianjia.com/chengjiao/107010000991.html
8,浦东,花木,2012-01-07,暂无数据,529,350,1,0,0,暂无数据,3室2厅1厨2卫,138.11㎡,南,有,"单价38303元/平,2012-12-21成交",,高楼层(共11层),https://sh.lianjia.com/chengjiao/107010001102.html
9,浦东,花木,2012-01-07,700,545,515,0,0,0,暂无数据,3室2厅1厨2卫,143.19㎡,南,有,"单价38062元/平,2013-06-05成交",,低楼层(共11层),https://sh.lianjia.com/chengjiao/107010003331.html
10,浦东,花木,2012-01-07,1000,640,533,0,0,0,暂无数据,3室2厅1厨2卫,144.96㎡,南,有,"单价68985元/平,2015-10-08成交",,高楼层(共18层),https://sh.lianjia.com/chengjiao/107010003756.html
11,浦东,花木,2012-01-07,暂无数据,710,686,0,0,0,暂无数据,3室2厅1厨2卫,141.77㎡,南,有,"单价50082元/平,2013-11-23成交",,高楼层(共18层),https://sh.lianjia.com/chengjiao/107010005354.html
12,浦东,花木,2012-01-07,1020,950,622,1,0,0,暂无数据,6室3厅1厨5卫,146.5㎡,南,有,"单价64847元/平,2013-09-20成交",,低楼层(共7层),https://sh.lianjia.com/chengjiao/107010004463.html
13,浦东,花木,2013-09-29,550,532,108,1,0,0,暂无数据,3室2厅1厨2卫,131.68㎡,南,有,"单价40401元/平,2014-01-15成交",,高楼层(共16层),https://sh.lianjia.com/chengjiao/107010005678.html
14,浦东,花木,2012-01-07,650,650,802,0,0,0,暂无数据,3室2厅1厨2卫,145.02㎡,南,有,"单价44822元/平,2014-03-19成交",,高楼层(共18层),https://sh.lianjia.com/chengjiao/107010006597.html
15,浦东,花木,2013-10-23,300,293,18,0,0,0,暂无数据,3室1厅1厨1卫,81.87㎡,南,无,"单价35789元/平,2013-11-10成交",,中楼层(共6层),https://sh.lianjia.com/chengjiao/107010005113.html
16,浦东,花木,2013-05-27,550,300,237,1,0,0,暂无数据,0室0厅1厨0卫,82.73㎡,暂无数据,无,"单价66482元/平,2016-03-24成交",,低楼层(共6层),https://sh.lianjia.com/chengjiao/107010005900.html
17,浦东,花木,2013-11-28,暂无数据,285,331,0,0,0,暂无数据,3室1厅1厨1卫,82.31㎡,南,无,"单价34626元/平,2014-10-25成交",,低楼层(共6层),https://sh.lianjia.com/chengjiao/107010008773.html
18,浦东,花木,2013-11-28,300,267,233,0,0,0,暂无数据,3室2厅1厨1卫,80.64㎡,南,无,"单价33111元/平,2014-07-19成交",,高楼层(共6层),https://sh.lianjia.com/chengjiao/107010007262.html
19,浦东,花木,2013-11-21,暂无数据,308.8,590,1,0,0,暂无数据,2室2厅1厨1卫,73.34㎡,南,无,"单价42106元/平,2015-07-04成交",,中楼层(共6层),https://sh.lianjia.com/chengjiao/107010019416.html
20,浦东,花木,2013-12-13,暂无数据,298,402,1,0,0,暂无数据,3室1厅1厨1卫,82.24㎡,南,暂无数据,"单价36236元/平,2015-01-19成交",,低楼层(共12层),https://sh.lianjia.com/chengjiao/107010010594.html
21,浦东,花木,2013-11-28,680,320,584,0,0,0,暂无数据,3室1厅1厨1卫,81.87㎡,南,无,"单价39087元/平,2015-07-05成交",,高楼层(共6层),https://sh.lianjia.com/chengjiao/107010017146.html
22,浦东,花木,2013-11-29,暂无数据,179,186,1,0,0,暂无数据,2室2厅1厨1卫,76.05㎡,西北,有,"单价23538元/平,2014-06-03成交",,低楼层(共29层),https://sh.lianjia.com/chengjiao/107010007305.html
23,浦东,花木,2013-08-11,暂无数据,365,693,0,0,0,暂无数据,2室1厅1厨1卫,76.11㎡,南,无,"单价47957元/平,2015-07-05成交",,高楼层(共6层),https://sh.lianjia.com/chengjiao/107010013518.html
24,浦东,花木,2013-11-21,540,278,604,1,0,0,暂无数据,2室1厅1厨1卫,73.34㎡,暂无数据,无,"单价37906元/平,2015-07-18成交",,高楼层(共6层),https://sh.lianjia.com/chengjiao/107010018846.html
25,浦东,花木,2012-01-07,暂无数据,860,100,1,0,0,暂无数据,4室2厅1厨2卫,197㎡,暂无数据,有,"单价43655元/平,2012-04-15成交",,低楼层(共7层),https://sh.lianjia.com/chengjiao/107010000495.html
26,浦东,花木,2012-01-07,3800,2620,96,1,0,0,暂无数据,4室2厅1厨4卫,256.19㎡,北,无,"单价102268元/平,2012-04-11成交",,低楼层(共2层),https://sh.lianjia.com/chengjiao/107010000400.html
27,浦东,花木,2012-05-27,暂无数据,652.5,34,1,0,0,暂无数据,0室0厅1厨0卫,188.99㎡,暂无数据,有,"单价34526元/平,2012-06-30成交",,低楼层(共18层),https://sh.lianjia.com/chengjiao/107010000751.html
28,浦东,花木,2012-01-07,1150,670,207,0,0,0,暂无数据,3室2厅1厨2卫,191㎡,暂无数据,有,"单价35079元/平,2012-07-31成交",,低楼层(共18层),https://sh.lianjia.com/chengjiao/107010000884.html
29,浦东,花木,2012-01-07,暂无数据,570,97,1,0,0,暂无数据,4室2厅1厨2卫,166.35㎡,南,有,"单价34266元/平,2012-04-12成交",,中楼层(共18层),https://sh.lianjia.com/chengjiao/107010000552.html
30,浦东,花木,2012-01-07,暂无数据,815,286,0,0,0,暂无数据,1室0厅1厨0卫,189㎡,暂无数据,有,"单价43122元/平,2012-10-18成交",,高楼层(共35层),https://sh.lianjia.com/chengjiao/107010001364.html
31,浦东,花木,2014-03-19,暂无数据,315,495,0,0,0,暂无数据,2室1厅1厨1卫,80.96㎡,南,无,"单价38909元/平,2015-07-27成交",,低楼层(共6层),https://sh.lianjia.com/chengjiao/107010020853.html
32,浦东,花木,2012-01-07,1350,920,307,1,0,0,暂无数据,4室2厅1厨3卫,212.65㎡,南,有,"单价61134元/平,2015-12-31成交",,中楼层(共21层),https://sh.lianjia.com/chengjiao/107010000568.html
33,浦东,花木,2012-01-07,1200,920,320,1,0,0,暂无数据,4室2厅1厨2卫,212.65㎡,南,有,"单价43264元/平,2012-11-21成交",,中楼层(共21层),https://sh.lianjia.com/chengjiao/107010001422.html
34,浦东,花木,2013-01-02,暂无数据,182,66,0,0,0,暂无数据,2室1厅1厨1卫,62.03㎡,南,无,"单价29341元/平,2013-03-09成交",,中楼层(共6层),https://sh.lianjia.com/chengjiao/107010002383.html
35,浦东,花木,2012-10-17,580,150,61,1,0,0,暂无数据,2室1厅1厨1卫,62.03㎡,南,无,"单价24182元/平,2012-12-16成交",,高楼层(共6层),https://sh.lianjia.com/chengjiao/107010001555.html
36,浦东,花木,2013-11-02,220,230,13,1,0,0,暂无数据,2室2厅1厨1卫,63.24㎡,南,无,"单价36370元/平,2013-11-15成交",,低楼层(共6层),https://sh.lianjia.com/chengjiao/107010005205.html
37,浦东,花木,2012-09-27,650,636,539,0,0,0,暂无数据,3室2厅1厨2卫,131.47㎡,南,有,"单价48377元/平,2014-03-20成交",,高楼层(共12层),https://sh.lianjia.com/chengjiao/107010005889.html
38,浦东,花木,2012-01-07,677,638,813,1,0,0,暂无数据,3室2厅1厨2卫,145.02㎡,暂无数据,有,"单价43994元/平,2014-03-30成交",,低楼层(共18层),https://sh.lianjia.com/chengjiao/107010006652.html
39,浦东,花木,2012-01-07,暂无数据,690,812,1,0,0,暂无数据,3室2厅1厨2卫,144.31㎡,南,有,"单价47814元/平,2014-03-29成交",,高楼层(共18层),https://sh.lianjia.com/chengjiao/107010006211.html
40,浦东,花木,2013-11-28,暂无数据,165,159,1,0,0,暂无数据,1室1厅1厨1卫,47.68㎡,南,无,"单价34606元/平,2014-05-06成交",,中楼层(共6层),https://sh.lianjia.com/chengjiao/107010006841.html
41,浦东,花木,2012-01-07,暂无数据,700,866,1,0,0,暂无数据,3室2厅1厨2卫,138.21㎡,南,有,"单价50648元/平,2014-05-22成交",,中楼层(共11层),https://sh.lianjia.com/chengjiao/107010006905.html
42,浦东,花木,2012-01-07,580,540,1009,0,0,0,暂无数据,3室2厅1厨2卫,147.35㎡,南,有,"单价36648元/平,2014-10-12成交",,低楼层(共12层),https://sh.lianjia.com/chengjiao/107010008543.html
43,浦东,花木,2013-11-28,暂无数据,193,394,1,0,0,暂无数据,1室1厅1厨1卫,48.95㎡,南,无,"单价39428元/平,2014-12-27成交",,中楼层(共6层),https://sh.lianjia.com/chengjiao/107010009910.html
44,浦东,花木,2013-11-19,暂无数据,199,175,0,0,0,暂无数据,1室1厅1厨1卫,37.64㎡,南,无,"单价52870元/平,2014-05-13成交",,中楼层(共6层),https://sh.lianjia.com/chengjiao/107010007067.html
45,浦东,花木,2012-01-07,暂无数据,219,1224,0,0,0,暂无数据,1室1厅1厨1卫,47.68㎡,南,无,"单价45932元/平,2015-05-15成交",,高楼层(共6层),https://sh.lianjia.com/chengjiao/107010014351.html
46,浦东,花木,2013-05-11,275,275,825,1,0,0,暂无数据,1室1厅1厨1卫,46.71㎡,南,无,"单价58874元/平,2015-08-14成交",,高楼层(共6层),https://sh.lianjia.com/chengjiao/107010021881.html
47,浦东,花木,2013-11-28,暂无数据,285,696,1,0,0,暂无数据,1室1厅1厨1卫,46.71㎡,暂无数据,暂无数据,"单价61015元/平,2015-10-25成交",,低楼层(共6层),https://sh.lianjia.com/chengjiao/107010030521.html
48,浦东,花木,2015-08-27,320,180.8,73,1,0,0,暂无数据,1室1厅1厨1卫,38.46㎡,暂无数据,无,"单价47010元/平,2015-11-08成交",,中楼层(共6层),https://sh.lianjia.com/chengjiao/107010036488.html
49,浦东,花木,2013-11-21,185,177,694,0,0,0,暂无数据,1室1厅1厨1卫,37.74㎡,南,无,"单价46900元/平,2015-10-16成交",,高楼层(共6层),https://sh.lianjia.com/chengjiao/107010030935.html
50,浦东,花木,2013-11-28,暂无数据,315,765,1,0,0,暂无数据,1室1厅1厨1卫,47.68㎡,暂无数据,无,"单价66066元/平,2016-01-02成交",,高楼层(共6层),https://sh.lianjia.com/chengjiao/107010050788.html
51,浦东,花木,2012-01-07,650,650,1016,1,0,0,暂无数据,3室2厅1厨2卫,144.9㎡,南,有,"单价44859元/平,2014-10-19成交",,高楼层(共18层),https://sh.lianjia.com/chengjiao/107010008625.html
52,浦东,花木,2012-03-15,63,60,1344,0,0,0,暂无数据,1室0厅1厨1卫,38.58㎡,南,暂无数据,"单价15553元/平,2015-11-19成交",,中楼层(共12层),https://sh.lianjia.com/chengjiao/107010039261.html
53,浦东,花木,2013-11-21,暂无数据,309,780,1,0,0,暂无数据,1室1厅1厨1卫,42.42㎡,南,无,"单价72843元/平,2016-01-10成交",,高楼层(共6层),https://sh.lianjia.com/chengjiao/107010044834.html
54,浦东,花木,2013-06-01,暂无数据,313,925,1,0,0,暂无数据,1室1厅1厨1卫,48.01㎡,南,无,"单价65195元/平,2015-12-13成交",,高楼层(共6层),https://sh.lianjia.com/chengjiao/107010044632.html
55,浦东,花木,2013-11-21,暂无数据,220,838,0,0,0,暂无数据,1室1厅1厨1卫,32.31㎡,暂无数据,无,"单价68091元/平,2016-03-08成交",,高楼层(共6层),https://sh.lianjia.com/chengjiao/107010066354.html
56,浦东,花木,2013-11-26,暂无数据,76,849,0,0,0,暂无数据,1室1厅1厨1卫,38.43㎡,东南,暂无数据,"单价19777元/平,2016-03-24成交",,中楼层(共12层),https://sh.lianjia.com/chengjiao/107010067134.html
57,浦东,花木,2013-11-21,260,255,819,1,0,0,暂无数据,1室1厅1厨1卫,41.05㎡,南,无,"单价62120元/平,2016-02-18成交",,高楼层(共6层),https://sh.lianjia.com/chengjiao/107010059697.html
58,浦东,花木,2013-11-21,暂无数据,275,857,1,0,0,暂无数据,1室1厅1厨1卫,32.31㎡,暂无数据,无,"单价85113元/平,2016-03-27成交",,中楼层(共6层),https://sh.lianjia.com/chengjiao/107010070101.html
59,浦东,花木,2013-09-29,350,347,880,1,0,0,暂无数据,1室1厅1厨1卫,46.71㎡,南,无,"单价74289元/平,2016-02-26成交",,高楼层(共6层),https://sh.lianjia.com/chengjiao/107010063469.html
60,浦东,花木,2015-07-16,78,78,288,1,0,0,暂无数据,1室0厅1厨1卫,32.46㎡,东南,暂无数据,"单价24030元/平,2016-04-29成交",,中楼层(共12层),https://sh.lianjia.com/chengjiao/107010073231.html
61,浦东,花木,2013-11-21,275,261,927,1,0,0,暂无数据,0室0厅1厨0卫,40.8㎡,暂无数据,无,"单价63971元/平,2016-06-05成交",,低楼层(共6层),https://sh.lianjia.com/chengjiao/107010074086.html
62,浦东,花木,2013-11-19,1,338,977,1,0,0,暂无数据,1室1厅1厨1卫,37.64㎡,南,无,"单价89799元/平,2016-07-23成交",,中楼层(共6层),https://sh.lianjia.com/chengjiao/107010081196.html
63,浦东,花木,2015-07-20,100,88,392,0,0,0,暂无数据,1室0厅1厨1卫,37.17㎡,暂无数据,暂无数据,"单价23676元/平,2016-08-15成交",,中楼层(共12层),https://sh.lianjia.com/chengjiao/107010088328.html
64,浦东,花木,2013-08-03,暂无数据,227,1142,0,0,0,暂无数据,1室1厅1厨1卫,48.31㎡,西,有,"单价46989元/平,2016-09-18成交",,低楼层(共29层),https://sh.lianjia.com/chengjiao/107010098917.html
65,浦东,花木,2012-01-07,750,510,354,0,0,0,暂无数据,3室2厅1厨2卫,129.85㎡,南,有,"单价39277元/平,2012-12-25成交",,中楼层(共14层),https://sh.lianjia.com/chengjiao/107010001841.html
66,浦东,花木,2012-01-07,940,328,460,0,0,0,暂无数据,2室2厅1厨2卫,116.54㎡,南,有,"单价80660元/平,2016-08-28成交",,高楼层(共13层),https://sh.lianjia.com/chengjiao/107010003164.html
67,浦东,花木,2012-01-07,500,480,546,1,0,0,暂无数据,2室2厅1厨2卫,112.38㎡,南,有,"单价42713元/平,2013-07-06成交",,高楼层(共13层),https://sh.lianjia.com/chengjiao/107010003805.html
68,浦东,花木,2013-07-12,950,506,45,1,0,0,暂无数据,0室0厅1厨0卫,124.34㎡,暂无数据,有,"单价40695元/平,2013-08-26成交",,中楼层(共16层),https://sh.lianjia.com/chengjiao/107010004321.html
69,浦东,花木,2012-01-07,暂无数据,535.2,623,0,0,0,暂无数据,3室2厅1厨1卫,117㎡,暂无数据,有,"单价45736元/平,2013-09-21成交",,中楼层(共12层),https://sh.lianjia.com/chengjiao/107010004660.html
70,浦东,花木,2012-01-07,500,475,428,1,0,0,暂无数据,2室2厅1厨1卫,114.18㎡,南,有,"单价41601元/平,2013-03-10成交",,中楼层(共13层),https://sh.lianjia.com/chengjiao/107010002658.html
71,浦东,花木,2013-07-28,730,710,112,0,0,0,暂无数据,2室2厅1厨1卫,126.17㎡,西,有,"单价56274元/平,2013-11-17成交",,低楼层(共9层),https://sh.lianjia.com/chengjiao/107010005238.html
72,浦东,花木,2012-01-07,1080,538,632,0,0,0,暂无数据,2室2厅1厨2卫,114.68㎡,南,有,"单价46914元/平,2013-09-30成交",,高楼层(共12层),https://sh.lianjia.com/chengjiao/107010004688.html
73,浦东,花木,2013-11-14,暂无数据,428,392,0,0,0,暂无数据,2室2厅1厨1卫,117.92㎡,南,有,"单价36296元/平,2014-12-11成交",,低楼层(共18层),https://sh.lianjia.com/chengjiao/107010009389.html
