,listed_price,transaction_price,town,url
0,460,450,"单价24392元/平,2015-06-13成交",https://sh.lianjia.com/chengjiao/107010016515.html
1,920,400.8,"单价23325元/平,2015-06-12成交",https://sh.lianjia.com/chengjiao/107010014629.html
2,700,293.8,"单价9164元/平,2013-09-27成交",https://sh.lianjia.com/chengjiao/107010018919.html
3,暂无数据,540,"单价25912元/平,2013-10-13成交",https://sh.lianjia.com/chengjiao/107010004854.html
4,560,545,"单价26555元/平,2015-03-29成交",https://sh.lianjia.com/chengjiao/107010011523.html
5,365,353,"单价20543元/平,2015-05-18成交",https://sh.lianjia.com/chengjiao/107010012689.html
6,450,460,"单价20623元/平,2014-03-25成交",https://sh.lianjia.com/chengjiao/107010006508.html
7,暂无数据,150,"单价5567元/平,2013-04-12成交",https://sh.lianjia.com/chengjiao/107010003163.html
8,420,410,"单价24205元/平,2015-06-14成交",https://sh.lianjia.com/chengjiao/107010015512.html
9,460,456,"单价27164元/平,2015-10-10成交",https://sh.lianjia.com/chengjiao/107010030953.html
10,420,420,"单价24670元/平,2015-09-11成交",https://sh.lianjia.com/chengjiao/107010019327.html
11,暂无数据,620,"单价24283元/平,2015-08-03成交",https://sh.lianjia.com/chengjiao/107010021956.html
12,430,420,"单价20101元/平,2015-09-20成交",https://sh.lianjia.com/chengjiao/107010022343.html
13,325,320,"单价19669元/平,2015-09-23成交",https://sh.lianjia.com/chengjiao/107010025132.html
14,460,456,"单价25027元/平,2015-08-12成交",https://sh.lianjia.com/chengjiao/107010021859.html
15,暂无数据,400,"单价21325元/平,2015-09-12成交",https://sh.lianjia.com/chengjiao/107010026229.html
16,暂无数据,267,"单价23346元/平,2013-03-15成交",https://sh.lianjia.com/chengjiao/107010002781.html
17,暂无数据,200,"单价17242元/平,2013-07-22成交",https://sh.lianjia.com/chengjiao/107010003888.html
18,270,268.5,"单价22101元/平,2015-06-08成交",https://sh.lianjia.com/chengjiao/107010015661.html
19,255,228,"单价18631元/平,2014-02-27成交",https://sh.lianjia.com/chengjiao/107010006297.html
20,315,318,"单价27057元/平,2015-04-13成交",https://sh.lianjia.com/chengjiao/107010012686.html
21,220,220,"单价18814元/平,2015-06-04成交",https://sh.lianjia.com/chengjiao/107010016256.html
22,暂无数据,305,"单价27138元/平,2015-05-07成交",https://sh.lianjia.com/chengjiao/107010012796.html
23,340,255,"单价21215元/平,2015-05-15成交",https://sh.lianjia.com/chengjiao/107010014661.html
24,260,255,"单价21228元/平,2015-06-12成交",https://sh.lianjia.com/chengjiao/107010016497.html
25,235,233.8,"单价20468元/平,2015-07-10成交",https://sh.lianjia.com/chengjiao/107010019846.html
26,270,268,"单价20984元/平,2015-06-28成交",https://sh.lianjia.com/chengjiao/107010014817.html
27,270,268,"单价22191元/平,2015-07-08成交",https://sh.lianjia.com/chengjiao/107010018212.html
28,265,260,"单价21312元/平,2015-06-28成交",https://sh.lianjia.com/chengjiao/107010018192.html
29,250,247.3,"单价19510元/平,2015-06-12成交",https://sh.lianjia.com/chengjiao/107010015895.html
30,240,232,"单价18503元/平,2015-07-16成交",https://sh.lianjia.com/chengjiao/107010019715.html
31,暂无数据,305,"单价25015元/平,2015-07-24成交",https://sh.lianjia.com/chengjiao/107010020967.html
32,292,284,"单价23456元/平,2015-07-25成交",https://sh.lianjia.com/chengjiao/107010021228.html
33,300,280,"单价48086元/平,2018-06-23成交",https://sh.lianjia.com/chengjiao/107100222239.html
34,280,267.5,"单价46018元/平,2018-06-10成交",https://sh.lianjia.com/chengjiao/107100314572.html
35,300,284.8,"单价43061元/平,2018-06-15成交",https://sh.lianjia.com/chengjiao/107100261007.html
36,299,284,"单价42901元/平,2018-06-23成交",https://sh.lianjia.com/chengjiao/107100230922.html
37,288,286,"单价42789元/平,2018-06-24成交",https://sh.lianjia.com/chengjiao/107100164960.html
38,310,305,"单价50834元/平,2018-07-14成交",https://sh.lianjia.com/chengjiao/107100295462.html
39,215,195,"单价38094元/平,2018-07-22成交",https://sh.lianjia.com/chengjiao/107100027606.html
40,310,288,"单价48000元/平,2018-07-28成交",https://sh.lianjia.com/chengjiao/107100293205.html
41,310,288,"单价48914元/平,2018-08-05成交",https://sh.lianjia.com/chengjiao/107100171124.html
42,298,286,"单价43242元/平,2018-07-28成交",https://sh.lianjia.com/chengjiao/107100334603.html
43,360,349,"单价52442元/平,2018-07-31成交",https://sh.lianjia.com/chengjiao/107001777777.html
44,285,279,"单价39972元/平,2018-08-31成交",https://sh.lianjia.com/chengjiao/107100104317.html
45,298,290,"单价43840元/平,2018-07-23成交",https://sh.lianjia.com/chengjiao/107100212071.html
46,1,156,"单价16791元/平,2013-03-19成交",https://sh.lianjia.com/chengjiao/107010002688.html
47,185,598.9,"单价56496元/平,2014-03-04成交",https://sh.lianjia.com/chengjiao/107010018980.html
48,220,218,"单价21630元/平,2015-04-28成交",https://sh.lianjia.com/chengjiao/107010013425.html
49,180,177,"单价19347元/平,2015-04-29成交",https://sh.lianjia.com/chengjiao/107010013361.html
50,195,185,"单价20272元/平,2015-04-26成交",https://sh.lianjia.com/chengjiao/107010012407.html
51,240,242.8,"单价24186元/平,2015-05-02成交",https://sh.lianjia.com/chengjiao/107010014081.html
52,暂无数据,209,"单价21780元/平,2015-04-27成交",https://sh.lianjia.com/chengjiao/107010013155.html
53,暂无数据,223.8,"单价21545元/平,2015-04-28成交",https://sh.lianjia.com/chengjiao/107010012793.html
54,420,193,"单价20673元/平,2015-05-07成交",https://sh.lianjia.com/chengjiao/107010014397.html
55,195,192,"单价21294元/平,2015-05-09成交",https://sh.lianjia.com/chengjiao/107010014084.html
56,468,445,"单价50805元/平,2018-09-26成交",https://sh.lianjia.com/chengjiao/107001275497.html
57,337,310,"单价35236元/平,2018-09-15成交",https://sh.lianjia.com/chengjiao/107100125759.html
58,465,452.6,"单价51107元/平,2018-09-27成交",https://sh.lianjia.com/chengjiao/107100367752.html
59,385,358,"单价39858元/平,2018-09-29成交",https://sh.lianjia.com/chengjiao/107100349160.html
60,480,465,"单价53345元/平,2018-09-25成交",https://sh.lianjia.com/chengjiao/107100403076.html
61,410,385,"单价42945元/平,2018-09-30成交",https://sh.lianjia.com/chengjiao/107100665284.html
62,380,343,"单价38277元/平,2018-10-09成交",https://sh.lianjia.com/chengjiao/107100546244.html
63,325,313,"单价40346元/平,2018-10-09成交",https://sh.lianjia.com/chengjiao/107100651360.html
64,398,370,"单价41686元/平,2018-10-11成交",https://sh.lianjia.com/chengjiao/107100571662.html
65,379,362,"单价40456元/平,2018-10-15成交",https://sh.lianjia.com/chengjiao/107100576097.html
66,328,318,"单价41049元/平,2018-10-12成交",https://sh.lianjia.com/chengjiao/107100547316.html
67,375,350,"单价41066元/平,2018-10-22成交",https://sh.lianjia.com/chengjiao/107100266039.html
68,188,183,"单价18722元/平,2015-05-17成交",https://sh.lianjia.com/chengjiao/107010013218.html
69,285,269,"单价38320元/平,2018-10-29成交",https://sh.lianjia.com/chengjiao/107100703056.html
70,365,345,"单价40403元/平,2018-10-23成交",https://sh.lianjia.com/chengjiao/107100710943.html
71,510,502,"单价38083元/平,2017-03-14成交",https://sh.lianjia.com/chengjiao/107001205261.html
72,700,700,"单价51818元/平,2017-04-15成交",https://sh.lianjia.com/chengjiao/107000640597.html
73,540,530,"单价35955元/平,2017-07-08成交",https://sh.lianjia.com/chengjiao/107001635237.html
74,550,513,"单价38511元/平,2017-06-30成交",https://sh.lianjia.com/chengjiao/107002043909.html
75,590,565,"单价43375元/平,2017-04-25成交",https://sh.lianjia.com/chengjiao/107001721867.html
76,690,648,"单价46947元/平,2017-05-14成交",https://sh.lianjia.com/chengjiao/107000836195.html
77,680,680,"单价47810元/平,2017-08-15成交",https://sh.lianjia.com/chengjiao/107001049715.html
78,342,315,"单价37730元/平,2018-11-04成交",https://sh.lianjia.com/chengjiao/107100657387.html
79,680,650,"单价45414元/平,2017-08-16成交",https://sh.lianjia.com/chengjiao/107000203533.html
80,500,485,"单价37145元/平,2017-08-28成交",https://sh.lianjia.com/chengjiao/107000015327.html
81,680,630,"单价45839元/平,2017-09-07成交",https://sh.lianjia.com/chengjiao/107002125389.html
82,510,505,"单价35104元/平,2017-09-26成交",https://sh.lianjia.com/chengjiao/107001948579.html
83,530,510,"单价37487元/平,2017-12-16成交",https://sh.lianjia.com/chengjiao/107001401033.html
84,570,557,"单价41287元/平,2017-08-31成交",https://sh.lianjia.com/chengjiao/107001057757.html
85,550,525,"单价39638元/平,2017-12-16成交",https://sh.lianjia.com/chengjiao/107002125417.html
86,610,598,"单价42554元/平,2017-09-09成交",https://sh.lianjia.com/chengjiao/107002043905.html
