,city,district,town,url
0,sh,徐汇,长桥,https://sh.lianjia.com/chengjiao/chengjiao/changqiao/
1,sh,徐汇,漕河泾,https://sh.lianjia.com/chengjiao/chengjiao/caohejing/
2,sh,徐汇,华东理工,https://sh.lianjia.com/chengjiao/chengjiao/huadongligong/
3,sh,徐汇,华泾,https://sh.lianjia.com/chengjiao/chengjiao/huajing/
4,sh,徐汇,衡山路,https://sh.lianjia.com/chengjiao/chengjiao/hengshanlu/
5,sh,徐汇,建国西路,https://sh.lianjia.com/chengjiao/chengjiao/jianguoxilu/
6,sh,徐汇,康健,https://sh.lianjia.com/chengjiao/chengjiao/kangjian/
7,sh,徐汇,龙华,https://sh.lianjia.com/chengjiao/chengjiao/longhua/
8,sh,徐汇,上海南站,https://sh.lianjia.com/chengjiao/chengjiao/shanghainanzhan/
9,sh,徐汇,田林,https://sh.lianjia.com/chengjiao/chengjiao/tianlin/
10,sh,徐汇,万体馆,https://sh.lianjia.com/chengjiao/chengjiao/wantiguan/
11,sh,徐汇,徐汇滨江,https://sh.lianjia.com/chengjiao/chengjiao/xuhuibinjiang/
12,sh,徐汇,徐家汇,https://sh.lianjia.com/chengjiao/chengjiao/xujiahui/
13,sh,徐汇,斜土路,https://sh.lianjia.com/chengjiao/chengjiao/xietulu/
14,sh,徐汇,植物园,https://sh.lianjia.com/chengjiao/chengjiao/zhiwuyuan/
15,sh,闵行,春申,https://sh.lianjia.com/chengjiao/chengjiao/chunshen/
16,sh,闵行,古美,https://sh.lianjia.com/chengjiao/chengjiao/gumei/
17,sh,闵行,航华,https://sh.lianjia.com/chengjiao/chengjiao/hanghua/
18,sh,闵行,华漕,https://sh.lianjia.com/chengjiao/chengjiao/huacao/
19,sh,闵行,金汇,https://sh.lianjia.com/chengjiao/chengjiao/jinhui/
20,sh,闵行,静安新城,https://sh.lianjia.com/chengjiao/chengjiao/jinganxincheng/
21,sh,闵行,金虹桥,https://sh.lianjia.com/chengjiao/chengjiao/jinhongqiao/
22,sh,闵行,龙柏,https://sh.lianjia.com/chengjiao/chengjiao/longbai/
23,sh,闵行,老闵行,https://sh.lianjia.com/chengjiao/chengjiao/laominhang/
24,sh,闵行,马桥,https://sh.lianjia.com/chengjiao/chengjiao/maqiao/
